https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#description,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#fundingSource,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasFAQ,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#logo,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#referencePublication,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasEquation,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sdm#hasExplanationDiagram,http://www.w3.org/ns/prov#hadPrimarySource
pihm_2.2,PIHM v2.2,2.2,Hydrology,pihm-v2,Release 2.2 of the PIHM model,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,kumar_mesh,,,,,nsf,duffy_christopher,,,,,,pihm_sourceCode,,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,,,,,penn_state,,,,,,,pihm_grid_general,,,
pihm_v4,PIHM V4,4,Hydrology,pihm-v4;pihm-v4-full,Version of PIHM adapted to C++ and including PIHM GIS transformations. All inputs and output have been modified to facilitate using standard formats,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,https://github.com/shulele/PIHM_Tech/blob/master/PIHM_Tech.pdf,shu_lele,,,6/25/2019,,darpa,shu_lele,,,https://github.com/shulele/PIHM-4.0/blob/master/README.md,,,pihm_sourceCode_v4,,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,,,,,penn_state,,,,,,,pihm_grid_general,,,
cycles_v0.9.3_alpha,Cycles v0.9.3 alpha,0.9.3,Agriculture,cycles;cycles_multiple_points,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,kemanian_armen;shi_yuning,,,,,,,,,,,,,,agriculture; cycles; crop growth; weather;soil;crop management,,,,,,,,,,,,,,,
cycles_v0.9.4_alpha,Cycles v0.94_alpha,0.9.4,Agriculture,cycles-v2-prod;cycles-v2,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,kemanian_armen;shi_yuning,,,,,,,,,,,,,,agriculture; cycles; crop growth; weather;soil;crop management,,,,,,,,,,,,,,,
kimetrica_0.0,Kimetrica lv0.o0,0,Land Use,kimetrica_land_use_cfg_simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EACS_2.0,EACS 2.0,2,Economy,economic-v2,Initial version of the model prepared as a component for a workflow,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly,,,,,darpa,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,virginia_tech,,,,,,,,,,
EACS_5.0,EACS 5.0,5,Economy,economic-v5,Version of the model regrouping variables according to their source,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly;zhang_zeya,,,6/24/2019,,darpa,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,virginia_tech,,,,,,,,,,
EACS_6.0,EACS 6.0,6,Economy,economic-v6,Version of the model exposing fertilizer increments,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly;zhang_zeya,,,6/24/2019,,darpa,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,virginia_tech,,,,,,,,,,
EACS_6.1,EACS 6.1,6.1,Economy,economic-v6.1;economic-v6.1-calib,Version of the model exposing increments for crops and calibration outputs ,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly;zhang_zeya,,,6/24/2019,,darpa,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,virginia_tech,,,,,,,,,,
topoflow_3.5,Topoflow v3.5,3.5,Hydrology,topoflow_cfg_simple,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,peckham_scott,,,,,,,,,,,,,,snowmelt;precipitation;evapotranspiration;infiltration;channel/overland flow;shallow subsurface flow;flow diversions,,,,,,,,,,,,,,,
